stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
9,164,5.3335,1.5841,5.2359,526,4687294464,123,6,21,19
9,165,6.2819,1.6029,6.3322,540,4687294464,123,6,21,19
9,166,5.9873,1.4726,6.0971,528,4687294464,123,6,21,19
9,167,6.0928,1.6134,5.8625,527,4687298560,123,6,21,19
9,168,6.5414,1.7291,6.6214,588,4687298560,123,6,21,19
9,169,6.2109,1.5498,6.1917,526,4687298560,123,6,21,19
9,170,5.7685,1.6761,5.7036,527,4687302656,123,6,21,19
9,171,6.4333,1.6027,6.3557,540,4687327232,123,6,21,19
9,172,6.4507,1.9284,6.4360,526,4687335424,123,6,21,19
9,173,4.9422,1.5282,5.1631,527,4687343616,123,6,21,19
9,174,6.8786,1.6559,6.7095,588,4687343616,123,6,21,19
9,175,5.6908,1.5426,5.7393,526,4687347712,123,6,21,19
9,176,5.7434,1.6174,5.6533,526,4687364096,123,6,21,19
9,177,6.1338,1.5363,6.2149,540,4687364096,123,6,21,19
9,178,6.9529,1.8118,6.7317,526,4687364096,123,6,21,19
9,179,5.4870,1.5648,5.6836,527,4687364096,123,6,21,19
9,180,6.7136,1.5815,6.7297,588,4687364096,123,6,21,19
